id,msgId,data
0,0,"Lex, Just The King"
1,0, 
2,0,2/2/2019 10:24 AM
3,0,"just so you guys know i made this, this is for our three person rps so no one will randomly join them"
4,0,"
"
5,1,The Plague Bearer
6,1, 
7,1,2/2/2019 10:25 AM
8,1,Coolio
9,1,"
"
10,2,Deleted User
11,2, 
12,2,2/2/2019 10:25 AM
13,2,YEet
14,2,10:25 AM
15,2,Alrighty
16,2,"
"
17,3,"Lex, Just The King"
18,3, 
19,3,2/17/2019 2:28 PM
20,3,"The day is beautiful... its peaceful, quiet, the kids in the town are having fun running around after each other."
21,3,"
"
22,4,Me: 
23,4,"i sigh as i walk out of Tota's shop after getting my newly formed burn scar over the left side of my face checked out and telling everyone goodbye as i go to run errands. a kid named Fear follows after me, wearing a hoodie with sleeves that are way too long and a black mask on over his face"
24,4,"
"
25,5,Deleted User
26,5, 
27,5,2/17/2019 2:31 PM
28,5,Mar: 
29,5,he spots you as he is walking out of the forest along with his creature that has a dead rabbit in his mouth. He walks up to you and waves
30,5," Hey Lex and Fear, What are you guys doing?"
31,5,"
"
32,6,"Lex, Just The King"
33,6, 
34,6,2/17/2019 2:33 PM
35,6,Me: 
36,6,I look up at them
37,6," Oh, im going to get some things addressed further... mainly these scar wounds, they've been bugging me after that fight with Hades.... 
"
38,7,Fear: Im just tagging along! I'm supposed to stay close to him or my powers dont work!
39,7,"
"
40,8,Deleted User
41,8, 
42,8,2/17/2019 2:34 PM
43,8,Mar: 
44,8,he nods
45,8, Ah makes sense.. Wouldn't Tota know about those? Who are you going to?
46,8,"
"
47,9,"Lex, Just The King"
48,9, 
49,9,2/17/2019 2:36 PM
50,9,Me: 
51,9,i pause for a moment and shrug
52,9, She said she didnt know how to fix them... every time she tried to it would turn back up... and that person.... 
53,9,i tap my chin a bit
54,9, Im not sure... she said to go to this other place in the town
55,9,"
"
56,10,Deleted User
57,10, 
58,10,2/17/2019 2:37 PM
59,10,Mar: huh.. Well do you mind if I tag along just to make sure you're going to be okay? 
60,10,he gives a small smile and rubs the back of his neck
61,10,"
"
62,11,"Lex, Just The King"
63,11, 
64,11,2/17/2019 2:38 PM
65,11,Me: 
66,11,i look at him for a second
67,11," Well, I don't mind... what do you say Fear?
"
68,12,"Fear: hmm, I think thats fine! "
69,12,he smiles a bit
70,12,"
"
71,13,Deleted User
72,13, 
73,13,2/17/2019 2:40 PM
74,13,Mar: Cool! 
75,13,his smile grows a bit and he continues to walk along side you two
76,13,"
"
77,14,Creature: 
78,14,he swallows the rabbit whole while walking with you guys
79,14,"
"
80,15,"Lex, Just The King"
81,15, 
82,15,2/17/2019 2:42 PM
83,15,we walk for a good distance to this slightly crowded area with a very large building in it
84,15,"
"
85,16,Me: 
86,16,i look at it a bit
87,16," That looks like it from the description she gave me...
"
88,17,Fear: That a... large building... 
89,17,he looks it up and down
90,17,"
"
91,18,Deleted User
92,18, 
93,18,2/17/2019 2:43 PM
94,18,Mar: 
95,18,he looks a bit nervous
96,18," huh... yeah, that's pretty big.. Is it safe?"
97,18,"
"
98,19,"Lex, Just The King"
99,19, 
100,19,2/17/2019 2:44 PM
101,19,Me: Well the area is crowded soo... i'd assume it would be... 
102,19,i scratch my head and walk towards the door
103,19,"
"
104,20,Fear: 
105,20,sees im moving and follows me
106,20,"
"
107,21,Deleted User
108,21, 
109,21,2/17/2019 2:45 PM
110,21,Mar: 
111,21,he follows you two and his pet follows him
112,21,"
"
113,22,"Lex, Just The King"
114,22, 
115,22,2/17/2019 2:46 PM
116,22,"inside the building looks really nice and there are many people walking around in it, they are going in and out of rooms with various objects and it seems that there are a lot of androids and robots there"
117,22,"
"
118,23,"Me: Ah... Now I see why she wanted to bring me here...
"
119,24,Fear: ooooOOo! 
120,24,he jumps up and down slightly
121,24, Theres a lot of them!
122,24,"
"
123,25,Deleted User
124,25, 
125,25,2/17/2019 2:48 PM
126,25,Mar: 
127,25,he looks curiously around
128,25," It's busy in here.
"
129,26,Creature: 
130,26,"he looks around interested, but half glaring at everyone"
131,26,"
"
132,27,"Lex, Just The King"
133,27, 
134,27,2/17/2019 2:50 PM
135,27,a few of the people in there notice the creature and stare at it in awe
136,27,"
"
137,28,Me: 
138,28,shuffles past them and goes to a reception desk with an android lady sitting there. I say a few things and she hands me some papers and points me to a room not too far away
139,28,"
"
140,29,Deleted User
141,29, 
142,29,2/17/2019 2:51 PM
143,29,Mar: 
144,29,walks up to Lex
145,29," You want us to stay out here?
"
146,30,Creature: 
147,30,he looks quite cocky with all the people staring at him in awe
148,30,"
"
149,31,"Lex, Just The King"
150,31, 
151,31,2/17/2019 2:53 PM
152,31,Me: 
153,31,I look to the reception lady
154,31,"
"
155,32,"Woman: Thats up to you! They can follow or stay here!
"
156,33,Me: 
157,33,I look back to Mar
158,33," I don't mind if you follow, you can if you'd like...
"
159,34,Fear: 
160,34,lightly jogs over next to me
161,34,"
"
162,35,Deleted User
163,35, 
164,35,2/17/2019 2:54 PM
165,35,Mar: 
166,35,he nods his head and sticks with you
167,35,"
"
168,36,Creature: 
169,36,he walks up next to Mar
170,36,"
"
171,37,"Lex, Just The King"
172,37, 
173,37,2/17/2019 2:56 PM
174,37,Me: 
175,37,I walk over to the room and knock on the door
176,37,"
"
177,38,"a full robot in a suit opens the door and smiles, his name tag reading Ian"
178,38,"
"
179,39,"Ian: You must be lex, correct?
"
180,40,Me: Thats right! 
181,40,I nod and shake his hand
182,40,"
"
183,41,Deleted User
184,41, 
185,41,2/17/2019 2:56 PM
186,41,Mar and Creature: 
187,41,they look curiously at Ian
188,41, 
189,41,(edited)
190,41,"
"
191,42,"Lex, Just The King"
192,42, 
193,42,2/17/2019 3:00 PM
194,42,Ian: 
195,42,sees the others
196,42," Oh, excuse me... I am Ian, im going to see if i can address Lex's wounds today... you all are? "
197,42,he looks at them curiously
198,42,"
"
199,43,Fear: Im Fear! Nice to meet you! 
200,43,he waves lightly
201,43,"
"
202,44,Deleted User
203,44, 
204,44,2/17/2019 3:01 PM
205,44,"Mar: Pleasure to meet you, I'm Mar! "
206,44,he gives Ian a smile and points to the creature
207,44," And he's a thing, just ignore him."
208,44,"
"
209,45,The Plague Bearer
210,45, 
211,45,2/17/2019 3:02 PM
212,45,Ikumi: 
213,45,teleports in
214,45," BASK IN THE GLORY THAT IS ME! IKUMI, THE OVERLORD OF THE PEDOPHILES! "
215,45,laughs maniacally
216,45,"
"
217,46,Deleted User
218,46, 
219,46,2/17/2019 3:03 PM
220,46,Mar: 
221,46,chokes and trips
222,46,3:03 PM
223,46,Creature: 
224,46,jumps up and into Mar
225,46,"
"
226,47,"Lex, Just The King"
227,47, 
228,47,2/17/2019 3:03 PM
229,47,Me: 
230,47,looks at her
231,47," Fuck not again...
"
232,48,Fear: 
233,48,looks at her and just looks confused
234,48,"
"
235,49,"Ian: Excuse me...?
"
236,50,most of the people in the building look at her really confused
